Latitud;Longitud;Direccion;Nombre
-58.3775508488443;-34.6288473603881;MANUEL A. MONTES DE OCA 40;HOSPITAL GENERAL DE NIÑOS PEDRO DE ELIZALDE
-58.4120700769456;-34.5941919726393;GALLO 1330;HOSPITAL GENERAL DE NIÑOS RICARDO GUTIERREZ
-58.4027276547828;-34.5845283357505;SANCHEZ DE BUSTAMANTE 2529;HOSPITAL DE ODONTOLOGIA DR. RAMON CARRILLO (EX NACIONAL)
-58.3851559118889;-34.6394041316484;BRANDSEN 2570;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO
-58.3913114406535;-34.6341535760002;CASEROS 2061;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO
-58.4349433479819;-34.6084721257413;DIAZ VELEZ 4821;INSTITUTO DE ZOONOSIS L. PASTEUR
-58.3758433488021;-34.6302112044495;DOCTOR ENRIQUE FINOCHIETTO 849;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER
-58.3823284509488;-34.6357022351559;DOCTOR RAMON CARRILLO 315;HOSPITAL INFANTO JUVENIL C. TOBAR GARCIA
-58.3821283746958;-34.6364350546569;DOCTOR RAMON CARRILLO 375;HOSPITAL DE SALUD MENTAL J. T. BORDA
-58.3601201271455;-34.6388917320834;DON PEDRO DE MENDOZA 1795;HOSPITAL DE ODONTOLOGIA INFANTIL DON BENITO QUINQUELA MARTIN
-58.4409882382439;-34.5538963316473;ECHEVERRIA 955;INSTITUTO DE REHABILITACION PSICOFISICA (I.R.E.P.)
-58.4027506275377;-34.634856308415;ESTEBAN DE LUCA 2151;HOSPITAL MATERNO INFANTIL R. SARDA
-58.4601855775528;-34.6054342750207;JUAN B. JUSTO 4151;HOSPITAL OFTALMOLOGICO DR. PEDRO LAGLEYZE
-58.4276597542837;-34.6146348348429;MUÑIZ 15;HOSPITAL DE ODONTOLOGIA  JOSE DUEÑAS
-58.4332484381295;-34.6070507603866;PATRICIAS ARGENTINAS 150;HOSPITAL MUNICIPAL DE ONCOLOGIA MARIE CURIE
-58.4323966950244;-34.6255031952483;PEDRO GOYENA 369;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA
-58.3940641604746;-34.6227125075124;SAN JUAN 2021;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA
-58.5021449222222;-34.6179817540591;SEGUROLA 1949;HOSPITAL DE REHABILITACION M. ROCCA
-58.3937269413225;-34.6375293258416;USPALLATA 2272;HOSPITAL DE INFECCIOSAS F. MUÑIZ
-58.4752588459761;-34.5972098729151;WARNES 2630;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR
-58.4005134574423;-34.5847659581214;GENERAL LAS HERAS 2670;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA
-58.365985088719;-34.6283448581677;CORBETA PI Y MARGAL 750;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH
-58.4068939142787;-34.581141710889;CERVIÑO 3356;HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ
-58.437981361705;-34.6089728538414;DIAZ VELEZ 5044;HOSPITAL GENERAL DE AGUDOS DR. C. DURAND
-58.4695020363265;-34.6241704940114;DOCTOR JUAN FELIPE ARANGUREN 2701;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ
-58.4096107488155;-34.6176598438607;GENERAL URQUIZA 609;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA
-58.4710781593251;-34.565051956568;MONROE 3555;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO
-58.5110525000569;-34.599979524264;NUEVA YORK 3952;HOSPITAL GENERAL DE AGUDOS A. ZUBIZARRETA
-58.50761514092;-34.6253367952668;PEDRO CALDERON DE LA BARCA 1550;HOSPITAL GENERAL DE AGUDOS D. VELEZ SARSFIELD
-58.5156291936709;-34.6491867281064;PILAR 950;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI
-58.4108602188291;-34.6431172591975;PEDRO CHUTRO 3380;HOSPITAL GENERAL DE AGUDOS J. A. PENNA
-58.4710976282168;-34.5873917690227;COMBATIENTES DE MALVINAS 3002;HOSPITAL GENERAL DE AGUDOS DR. E. TORNU
-58.4541167814714;-34.643894071866;VARELA 1301;HOSPITAL GENERAL DE AGUDOS P. PIÑERO
-58.4566428491103;-34.6718480140772;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4402 4402;HOSPITAL CECILIA GRIERSON
-58.3918791813882;-34.6299453614404;COMBATE DE LOS POZOS 1881;HOSP. DE PEDIATRIA DR. J. GARRAHAN
-58.3814293381891;-34.6419888014928;SUAREZ 2215;TALLERES PROTEGIDOS DE REHABILITACION PSIQUIATRICA
